time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
14864.22,0.002,0.027,1.013,5.368,-0.656,1.198,21.8227685648382,-7.4201943780304,-41.6109799667792
14938.677,0.002,0.027,1.013,5.368,-0.656,1.198,21.5876851927139,-7.78011762535629,-42.0800162825048
14945.054,0.008,0.017,1.012,1.666,-1.435,0.166,21.5876851927139,-7.78011762535629,-42.0800162825048
15023.606,0.012,0.022,1.02,0.258,-2.143,0.389,21.5876851927139,-7.78011762535629,-42.0800162825048
15038.609,0.012,0.022,1.02,0.258,-2.143,0.389,21.9401875101245,-7.78114293823109,-41.6109799667792
15102.386,0.012,0.022,1.02,0.183,-0.743,-0.293,21.9401875101245,-7.78114293823109,-41.6109799667792
15104.761,0.015,0.017,1.009,0.183,-0.743,-0.293,21.9401875101245,-7.78114293823109,-41.6109799667792
15135.849,0.015,0.017,1.009,0.183,-0.743,-0.293,22.5252515973917,-6.8196387572374,-41.1419436510536
15183.227,0.013,0.026,1.02,2.086,-0.538,0.188,22.5252515973917,-6.8196387572374,-41.1419436510536
15235.13,0.013,0.026,1.02,2.086,-0.538,0.188,21.8248428033862,-7.90231355236032,-41.2201163703412
15262.011,0.015,0.024,1.017,1.548,0.179,0.319,21.8248428033862,-7.90231355236032,-41.2201163703412
15334.421,0.015,0.024,1.017,1.548,0.179,0.319,20.5383965904398,-7.54153587763877,-41.1419436510536
15340.799,0.015,0.024,1.017,0.962,1.373,-0.052,20.5383965904398,-7.54153587763877,-41.1419436510536
15343.174,0.014,0.032,1.023,0.962,1.373,-0.052,20.5383965904398,-7.54153587763877,-41.1419436510536
15421.411,0.001,0.027,1.014,0.625,2.646,-1.181,20.5383965904398,-7.54153587763877,-41.1419436510536
15432.305,0.001,0.027,1.014,0.625,2.646,-1.181,22.9927309363715,-7.90145912496465,-41.6109799667792
15500.184,0.006,0.033,1.006,0.42,0.608,-0.49,22.9927309363715,-7.90145912496465,-41.6109799667792
15531.579,0.006,0.033,1.006,0.42,0.608,-0.49,21.9427887909429,-9.70620192596808,-41.6109799667792
15581.018,0.015,0.022,1.029,-0.039,-0.52,-0.612,21.9427887909429,-9.70620192596808,-41.6109799667792
15630.865,0.015,0.022,1.029,-0.039,-0.52,-0.612,21.4702651731109,-8.260698830374,-42.3927071596552
15659.803,-0.001,0.036,1.004,1.478,3.871,0.28,21.4702651731109,-8.260698830374,-42.3927071596552
15730.154,-0.001,0.036,1.004,1.478,3.871,0.28,21.9413255704825,-8.62335624536602,-41.6109799667792
15738.587,-0.001,0.028,1.03,1.36,0.818,0.113,21.9413255704825,-8.62335624536602,-41.6109799667792
15819.182,-0.002,0.027,1.019,0.682,1.701,0.126,21.9413255704825,-8.62335624536602,-41.6109799667792
15828.025,-0.002,0.027,1.019,0.682,1.701,0.126,20.886993763673,-7.17956200456328,-41.6109799667792
15897.964,-0.002,0.037,1.003,0.8,1.343,0.332,20.886993763673,-7.17956200456328,-41.6109799667792
15927.31,-0.002,0.037,1.003,0.8,1.343,0.332,20.4199181890294,-8.50235651671593,-41.9236708439296
15976.748,0,0.033,1.013,1.417,-0.555,0.157,20.4199181890294,-8.50235651671593,-41.9236708439296
16026.597,0,0.033,1.013,1.417,-0.555,0.157,21.8256153272083,-8.26343299804014,-41.1419436510536
16057.584,-0.002,0.033,1.022,1.693,0.503,-0.538,21.8256153272083,-8.26343299804014,-41.1419436510536
16125.878,-0.002,0.033,1.022,1.693,0.503,-0.538,20.8903686426301,-8.62421067276169,-41.2201163703412
16136.354,0,0.037,1.027,0.258,0.315,-0.201,20.8903686426301,-8.62421067276169,-41.2201163703412
16216.965,-0.001,0.03,1.006,0.459,1.373,-0.113,20.8903686426301,-8.62421067276169,-41.2201163703412
16223.759,-0.001,0.03,1.006,0.459,1.373,-0.113,21.1223597708326,-8.50286917315333,-41.6891526860668
16295.751,-0.006,0.032,1.018,0.166,-0.511,0.844,21.1223597708326,-8.50286917315333,-41.6891526860668
16323.047,-0.006,0.032,1.018,0.166,-0.511,0.844,21.5904905043337,-9.22442452259643,-41.845498124642
16374.531,-0.007,0.037,1.026,0.411,-0.962,1.29,21.5904905043337,-9.22442452259643,-41.845498124642
16422.325,-0.007,0.037,1.026,0.411,-0.962,1.29,21.5903693750328,-8.50304005863246,-41.6109799667792
16455.363,-0.002,0.037,1,-0.008,1.281,-0.078,21.5903693750328,-8.50304005863246,-41.6109799667792
16521.614,-0.002,0.037,1,-0.008,1.281,-0.078,21.2387214086282,-8.50252740219506,-41.845498124642
16534.14,-0.007,0.033,1.018,0.953,-0.691,-0.468,21.2387214086282,-8.50252740219506,-41.845498124642
16612.699,-0.003,0.031,1.012,0.896,-0.196,-0.004,21.2387214086282,-8.50252740219506,-41.845498124642
16619.491,-0.003,0.031,1.012,0.896,-0.196,-0.004,21.121465043393,-8.26189502872794,-41.845498124642
16693.527,-0.005,0.034,1.018,1.404,0.603,-0.323,21.121465043393,-8.26189502872794,-41.845498124642
16718.771,-0.005,0.034,1.018,1.404,0.603,-0.323,21.592240657096,-8.62438155824082,-41.1419436510536
16772.31,-0.008,0.045,1.008,0.546,0.332,-0.306,21.592240657096,-8.62438155824082,-41.1419436510536
16818.058,-0.008,0.045,1.008,0.546,0.332,-0.306,21.1197148906307,-8.86193799308355,-42.5490525982304
16851.084,-0.008,0.045,1.008,3.093,0.07,0.673,21.1197148906307,-8.86193799308355,-42.5490525982304
16853.459,0,0.026,1.026,3.093,0.07,0.673,21.1197148906307,-8.86193799308355,-42.5490525982304
16917.341,0,0.026,1.026,3.093,0.07,0.673,20.5403061003033,-9.58639839567192,-41.3764618089164
16931.917,-0.024,0.041,1.034,17.815,8.281,4.471,20.5403061003033,-9.58639839567192,-41.3764618089164
17010.471,-0.027,0.131,0.982,20.413,7.538,2.957,20.5403061003033,-9.58639839567192,-41.3764618089164
17015.215,-0.027,0.131,0.982,20.413,7.538,2.957,20.19451423869,-11.3926791659875,-40.6729073353279
17091.307,-0.021,0.114,1.006,26.998,0.573,-7.796,20.19451423869,-11.3926791659875,-40.6729073353279
17114.503,-0.021,0.114,1.006,26.998,0.573,-7.796,19.3786767621288,-14.6401908949189,-41.1419436510536
17170.088,-0.033,0.229,0.988,49.997,3.049,-7.262,19.3786767621288,-14.6401908949189,-41.1419436510536
17213.782,-0.033,0.229,0.988,49.997,3.049,-7.262,18.8058955260982,-18.3740939351585,-39.265798388151
17248.862,-0.042,0.257,0.965,70.949,2.388,-10.723,18.8058955260982,-18.3740939351585,-39.265798388151
17313.069,-0.042,0.257,0.965,70.949,2.388,-10.723,20.8024278062017,-21.8656557471397,-38.1713803181246
17329.697,-0.045,0.363,0.939,57.277,-1.382,-8.588,20.8024278062017,-21.8656557471397,-38.1713803181246
17408.254,-0.039,0.401,0.922,51.778,-0.266,-7.936,20.8024278062017,-21.8656557471397,-38.1713803181246
17410.947,-0.039,0.401,0.922,51.778,-0.266,-7.936,19.8729968499811,-23.7927653606263,-37.2333076866733
17489.084,-0.049,0.496,0.92,34.868,-0.21,-4.064,19.8729968499811,-23.7927653606263,-37.2333076866733
17510.229,-0.049,0.496,0.92,34.868,-0.21,-4.064,18.8263902813927,-25.9601655766217,-36.4515804937973
17567.87,-0.053,0.495,0.892,35.284,3.714,-6.518,18.8263902813927,-25.9601655766217,-36.4515804937973
